inst1_resp.keys,inst1_resp.rt,calibrationMouse.x,calibrationMouse.y,calibrationMouse.leftButton,calibrationMouse.midButton,calibrationMouse.rightButton,calibrationClick.x,calibrationClick.y,calibrationClick.leftButton,calibrationClick.midButton,calibrationClick.rightButton,calibrationClick.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate,tracking_resp.keys,tracking_resp.rt
space,2.383799999,0.595355903,-0.114344618,1,0,0,0.44030568,-0.441834077,1,0,0,calibration_square,0,0,0,20,1,0.44,-0.44,aaa,001,2025-01-21_10h13.53.462,demo_eye_tracking2,2021.2.3,MacIntel,60.24096386,,
,,,,,,,-0.433727059,-0.437413194,1,0,0,calibration_square,0,1,1,0,1,-0.44,-0.44,aaa,001,2025-01-21_10h13.53.462,demo_eye_tracking2,2021.2.3,MacIntel,60.24096386,,
,,,,,,,0.004523189,-0.439942956,1,0,0,calibration_square,0,2,2,10,1,0,-0.44,aaa,001,2025-01-21_10h13.53.462,demo_eye_tracking2,2021.2.3,MacIntel,60.24096386,,
,,,,,,,0.219639757,0.217695933,1,0,0,calibration_square,0,3,3,18,1,0.22,0.22,aaa,001,2025-01-21_10h13.53.462,demo_eye_tracking2,2021.2.3,MacIntel,60.24096386,,
,,,,,,,0.439918155,-0.216071429,1,0,0,calibration_square,0,4,4,21,1,0.44,-0.22,aaa,001,2025-01-21_10h13.53.462,demo_eye_tracking2,2021.2.3,MacIntel,60.24096386,,
,,,,,,,0.222696553,-0.439626736,1,0,0,calibration_square,0,5,5,15,1,0.22,-0.44,aaa,001,2025-01-21_10h13.53.462,demo_eye_tracking2,2021.2.3,MacIntel,60.24096386,,
,,,,,,,-0.445331101,0.219459945,1,0,0,calibration_square,0,6,6,3,1,-0.44,0.22,aaa,001,2025-01-21_10h13.53.462,demo_eye_tracking2,2021.2.3,MacIntel,60.24096386,,
,,,,,,,-0.440070064,0.440389385,1,0,0,calibration_square,0,7,7,4,1,-0.44,0.44,aaa,001,2025-01-21_10h13.53.462,demo_eye_tracking2,2021.2.3,MacIntel,60.24096386,,
,,,,,,,-0.67233693,-0.437608507,1,0,0,,0,8,8,25,1,-0.66,-0.44,aaa,001,2025-01-21_10h13.53.462,demo_eye_tracking2,2021.2.3,MacIntel,60.24096386,,
,,,,,,,0.659402902,-0.435760789,1,0,0,calibration_square,0,9,9,29,1,0.66,-0.44,aaa,001,2025-01-21_10h13.53.462,demo_eye_tracking2,2021.2.3,MacIntel,60.24096386,,
,,,,,,,0.650802951,0.010447669,1,0,0,,0,10,10,31,1,0.66,0,aaa,001,2025-01-21_10h13.53.462,demo_eye_tracking2,2021.2.3,MacIntel,60.24096386,,
,,,,,,,0.43390997,0.221918403,1,0,0,calibration_square,0,11,11,23,1,0.44,0.22,aaa,001,2025-01-21_10h13.53.462,demo_eye_tracking2,2021.2.3,MacIntel,60.24096386,,
,,,,,,,-0.005230035,0.436545139,1,0,0,calibration_square,0,12,12,14,1,0,0.44,aaa,001,2025-01-21_10h13.53.462,demo_eye_tracking2,2021.2.3,MacIntel,60.24096386,,
,,,,,,,-0.665749008,0.001013765,1,0,0,calibration_square,0,13,13,27,1,-0.66,0,aaa,001,2025-01-21_10h13.53.462,demo_eye_tracking2,2021.2.3,MacIntel,60.24096386,,
,,,,,,,0.224404762,-0.217999752,1,0,0,calibration_square,0,14,14,16,1,0.22,-0.22,aaa,001,2025-01-21_10h13.53.462,demo_eye_tracking2,2021.2.3,MacIntel,60.24096386,,
,,,,,,,-0.21921193,0.222305928,1,0,0,calibration_square,0,15,15,8,1,-0.22,0.22,aaa,001,2025-01-21_10h13.53.462,demo_eye_tracking2,2021.2.3,MacIntel,60.24096386,,
,,,,,,,-0.215048363,-0.451388889,1,0,0,,0,16,16,5,1,-0.22,-0.44,aaa,001,2025-01-21_10h13.53.462,demo_eye_tracking2,2021.2.3,MacIntel,60.24096386,,
,,,,,,,-0.003847346,-0.222761657,1,0,0,calibration_square,0,17,17,11,1,0,-0.22,aaa,001,2025-01-21_10h13.53.462,demo_eye_tracking2,2021.2.3,MacIntel,60.24096386,,
,,,,,,,-0.210791791,-0.223710317,1,0,0,calibration_square,0,18,18,6,1,-0.22,-0.22,aaa,001,2025-01-21_10h13.53.462,demo_eye_tracking2,2021.2.3,MacIntel,60.24096386,,
,,,,,,,0.443625992,0.440900918,1,0,0,calibration_square,0,19,19,24,1,0.44,0.44,aaa,001,2025-01-21_10h13.53.462,demo_eye_tracking2,2021.2.3,MacIntel,60.24096386,,
,,,,,,,0.221034846,0.442922247,1,0,0,calibration_square,0,20,20,19,1,0.22,0.44,aaa,001,2025-01-21_10h13.53.462,demo_eye_tracking2,2021.2.3,MacIntel,60.24096386,,
,,,,,,,0.21891121,0.003171503,1,0,0,calibration_square,0,21,21,17,1,0.22,0,aaa,001,2025-01-21_10h13.53.462,demo_eye_tracking2,2021.2.3,MacIntel,60.24096386,,
,,,,,,,-0.001512897,-0.001996528,1,0,0,calibration_square,0,22,22,12,1,0,0,aaa,001,2025-01-21_10h13.53.462,demo_eye_tracking2,2021.2.3,MacIntel,60.24096386,,
,,,,,,,0.43609251,-0.002725074,1,0,0,calibration_square,0,23,23,22,1,0.44,0,aaa,001,2025-01-21_10h13.53.462,demo_eye_tracking2,2021.2.3,MacIntel,60.24096386,,
,,,,,,,-0.231305804,0.005434648,1,0,0,,0,24,24,7,1,-0.22,0,aaa,001,2025-01-21_10h13.53.462,demo_eye_tracking2,2021.2.3,MacIntel,60.24096386,,
,,,,,,,0.657049851,0.443740699,1,0,0,calibration_square,0,25,25,33,1,0.66,0.44,aaa,001,2025-01-21_10h13.53.462,demo_eye_tracking2,2021.2.3,MacIntel,60.24096386,,
,,,,,,,-0.437323289,-0.221034846,1,0,0,calibration_square,0,26,26,1,1,-0.44,-0.22,aaa,001,2025-01-21_10h13.53.462,demo_eye_tracking2,2021.2.3,MacIntel,60.24096386,,
,,,,,,,-0.216046627,0.440445188,1,0,0,calibration_square,0,27,27,9,1,-0.22,0.44,aaa,001,2025-01-21_10h13.53.462,demo_eye_tracking2,2021.2.3,MacIntel,60.24096386,,
,,,,,,,0.001233879,0.227281746,1,0,0,calibration_square,0,28,28,13,1,0,0.22,aaa,001,2025-01-21_10h13.53.462,demo_eye_tracking2,2021.2.3,MacIntel,60.24096386,,
,,,,,,,0.650731647,-0.21890501,1,0,0,calibration_square,0,29,29,30,1,0.66,-0.22,aaa,001,2025-01-21_10h13.53.462,demo_eye_tracking2,2021.2.3,MacIntel,60.24096386,,
,,,,,,,0.659716022,0.216886781,1,0,0,calibration_square,0,30,30,32,1,0.66,0.22,aaa,001,2025-01-21_10h13.53.462,demo_eye_tracking2,2021.2.3,MacIntel,60.24096386,,
,,,,,,,-0.651906622,0.219711062,1,0,0,calibration_square,0,31,31,28,1,-0.66,0.22,aaa,001,2025-01-21_10h13.53.462,demo_eye_tracking2,2021.2.3,MacIntel,60.24096386,,
,,,,,,,-0.666344246,-0.222879464,1,0,0,calibration_square,0,32,32,26,1,-0.66,-0.22,aaa,001,2025-01-21_10h13.53.462,demo_eye_tracking2,2021.2.3,MacIntel,60.24096386,,
